Greenwood Community Sch Corp,,
Griffith Public Schools,,
Hamilton Community Schools,,
Hamilton Heights School Corp,,
Hamilton Southeastern Schools,,
Hammond Academy of Science &amp,,
Hanover Community School Corp,,
Herron Charter,,
Hoosier Acad Virtual Charter,,
Hoosier Academy - Indianapolis,,
Hope Academy,,
Huntington Co Com Sch Corp,,
Imagine Life Sciences Acad - West,,
IN Acad for Sci Math Humanities,,
Indiana College Preparatory School,,
Indiana Connections Academy,,
Indiana Math and Science Acad South,,
Indiana Math and Science Academy,,
Indiana Math Science Academy North,,
Indiana Virtual School,,
Indianapolis Acad of Excel - Chlng Fnd Aca,,
Indianapolis Lighthouse East,,
Indianapolis Metropolitan High School,,
Indianapolis Public Schools,,
Indpls Lighthouse Charter School,,
Inspire Academy,,
Irvington Community School,,
Jac-Cen-Del Community Sch Corp,,
Jay School Corp,,
Jennings County Schools,,
John Glenn School Corporation,,
Joshua Academy,,
Kankakee Valley School Corp,,
KIPP Indpls College Preparatory,,
KIPP Indy Unite Elementary,,
Knox Community School Corp,,
Kokomo School Corporation,,
Lafayette Excel Center,,
Lafayette School Corporation,,
Lake Central School Corp,,
Lake Ridge Schools,,
Lake Station Community Schools,,
Lakeland School Corporation,,
Lanesville Community School Corp,,
LaPorte Community School Corp,,
Lawrenceburg Com School Corp,,
Lebanon Community School Corp,,
Liberty-Perry Com School Corp,,
Linton-Stockton School Corp,,
Logansport Community Sch Corp,,
Loogootee Community Sch Corp,,
M S D Bluffton-Harrison,,
M S D Boone Township,,
M S D Decatur Township,,
M S D Lawrence Township,,
M S D Martinsville Schools,,
M S D Mount Vernon,,
M S D North Posey Co Schools,,
M S D of New Durham Township,,
M S D Perry Township,,
M S D Pike Township,,
M S D Shakamak Schools,,
M S D Southwest Allen County Schools,,
M S D Steuben County,,
M S D Wabash County Schools,,
M S D Warren Township,,
M S D Washington Township,,
M S D Wayne Township,,
Maconaquah School Corp,,
Madison Consolidated Schools,,
Madison-Grant United Sch Corp,,
Manchester Community Schools,,
Marion Academy,,
Marion Community Schools,,
Mays Community Academy,,
Medora Community School Corp,,
Merrillville Community School,,
Michigan City Area Schools,,
Middlebury Community Schools,,
Milan Community Schools,,
Mill Creek Community Sch Corp,,
Mississinewa Community School Corp,,
Mitchell Community Schools,,
Monroe Central School Corp,,
Monroe County Com Sch Corp,,
Monroe-Gregg School District,,
Mooresville Con School Corp,,
Mt Vernon Community Sch Corp,,
Muncie Community Schools,,
Neighbors New Vista High School,,
Nettle Creek School Corp,,
New Albany-Floyd Co Con Sch,,
New Castle Community Sch Corp,,
New Community School,,
New Prairie United School Corp,,
Nexus Academy of Indianapolis,,
Nineveh-Hensley-Jackson United,,
Noblesville Schools,,
North Adams Community Schools,,
North Central Parke Con Sch Corp,,
North Daviess Com Schools,,
North Gibson School Corp,,
North Harrison Com School Corp,,
North Judson-San Pierre Sch Corp,,
North Knox School Corp,,
North Lawrence Com Schools,,
North Miami Community Schools,,
North Montgomery Com Sch Corp,,
North Newton School Corp,,
North Putnam Community Schools,,
North Spencer County Sch Corp,,
North Vermillion Com Sch Corp,,
North West Hendricks Schools,,
North White School Corp,,
Northeast Dubois Co Sch Corp,,
Northeast School Corp,,
Northeastern Wayne Schools,,
Northern Wells Com Schools,,
Northwest Allen County Schools,,
Northwestern Con School Corp,,
Northwestern School Corp,,
Oak Hill United School Corp,,
Options Charter Sch - Noblesville,,
Options Charter School - Carmel,,
Oregon-Davis School Corp,,
Orleans Community Schools,,
Paoli Community School Corp,,
Paramount School of Excellence Inc,,
Penn-Harris-Madison Sch Corp,,
Perry Central Com Schools Corp,,
Peru Community Schools,,
Phalen Ldrshp Acad - IN Inc,,
Pike County School Corp,,
Pioneer Regional School Corp,,
Plainfield Community Sch Corp,,
Plymouth Community School Corp,,
Portage Township Schools,,
Porter Township School Corp,,
Prairie Heights Com Sch Corp,,
Randolph Central School Corp,,
Randolph Eastern School Corp,,
Randolph Southern School Corp,,
Renaissance Academy Charter,,
Rensselaer Central School Corp,,
Richland-Bean Blossom C S C,,
Richmond Community Schools,,
Rising Sun-Ohio Co Com,,
River Forest Community Sch Corp,,
Rochester Community Sch Corp,,
Rock Creek Community Academy,,
Rossville Con School District,,
Rural Community Schools Inc,,
Rush County Schools,,
Salem Community Schools,,
School City of East Chicago,,
School City of Hammond,,
School City of Hobart,,
School City of Mishawaka,,
School Town of Highland,,
