year,expenditure_type,school,funding_category,amount
2006,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,885297
2009,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,1112059
2013,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,2138374
2014,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,2602899
2015,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,3740842
2016,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,4692993
2006,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,191398
2009,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,375286
2013,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,637643
2014,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,732818
2015,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,998968
2016,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,709308
2006,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,649896
2009,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,258
2013,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,1605313
2014,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,2065345
2015,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,2439791
2016,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,2142626
2006,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,794250
2009,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,315
2013,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,811324
2014,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,604014
2015,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,1385543
2016,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,1344981
2006,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2009,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,00
2013,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2014,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2015,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2016,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2006,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Academic Achievement,5233400
2009,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Academic Achievement,6193828
2013,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Academic Achievement,6494212
2014,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Academic Achievement,6149226
2015,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Academic Achievement,6246203
2016,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Academic Achievement,6592859
2006,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Instructional Support,692047
2009,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Instructional Support,821012
2013,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Instructional Support,891399
2014,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Instructional Support,889160
2015,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Instructional Support,913036
2016,Instructional,Adams_Central_Community_Schoolsnbsp_15,Student Instructional Support,893404
2006,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Overhead and Operational,2394265
2009,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Overhead and Operational,249
2013,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Overhead and Operational,2875509
2014,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Overhead and Operational,2700851
2015,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Overhead and Operational,2824878
2016,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Overhead and Operational,2725158
2006,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Non Operational,1312887
2009,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Non Operational,136
2013,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Non Operational,2362799
2014,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Non Operational,2345733
2015,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Non Operational,2140160
2016,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Non Operational,2904356
2006,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Not Categorized,0
2009,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Not Categorized,00
2013,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Not Categorized,0
2014,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Not Categorized,0
2015,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Not Categorized,0
2016,Non-Instructional,Adams_Central_Community_Schoolsnbsp_15,Not Categorized,0
2006,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Academic Achievement,9732258
2009,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Academic Achievement,8299424
2013,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Academic Achievement,9564672
2014,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Academic Achievement,9469952
2015,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Academic Achievement,9424322
2016,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Academic Achievement,9780069
2006,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Instructional Support,1035580
2009,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Instructional Support,1148934
2013,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Instructional Support,1293785
2014,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Instructional Support,1341401
2015,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Instructional Support,1304838
2016,Instructional,Alexandria_Com_School_Corpnbsp_5265,Student Instructional Support,1342768
2006,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Overhead and Operational,2685671
2009,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Overhead and Operational,180
2013,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Overhead and Operational,3415154
2014,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Overhead and Operational,3338979
2015,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Overhead and Operational,3566116
2016,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Overhead and Operational,3558329
2006,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Non Operational,1505327
2009,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Non Operational,101
2013,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Non Operational,1639333
2014,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Non Operational,1436415
2015,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Non Operational,1535427
2016,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Non Operational,1384388
2006,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Not Categorized,0
2009,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Not Categorized,00
2013,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Not Categorized,0
2014,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Not Categorized,0
2015,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Not Categorized,0
2016,Non-Instructional,Alexandria_Com_School_Corpnbsp_5265,Not Categorized,0
2006,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Academic Achievement,68805505
2009,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Academic Achievement,58320140
2013,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Academic Achievement,42387645
2014,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Academic Achievement,42274598
2015,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Academic Achievement,43568274
2016,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Academic Achievement,43980796
2006,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Instructional Support,8893695
2009,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Instructional Support,8434098
2013,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Instructional Support,5815422
2014,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Instructional Support,5149472
2015,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Instructional Support,5088364
2016,Instructional,Anderson_Community_School_Corpnbsp_5275,Student Instructional Support,5658072
2006,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Overhead and Operational,51897702
2009,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Overhead and Operational,268
2013,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Overhead and Operational,23524619
2014,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Overhead and Operational,25910611
2015,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Overhead and Operational,22686357
2016,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Overhead and Operational,21650172
2006,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Non Operational,63905623
2009,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Non Operational,330
2013,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Non Operational,13487626
2014,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Non Operational,15736782
2015,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Non Operational,12602738
2016,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Non Operational,12980750
2006,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Not Categorized,0
2009,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Not Categorized,00
2013,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Not Categorized,0
2014,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Not Categorized,0
2015,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Not Categorized,0
2016,Non-Instructional,Anderson_Community_School_Corpnbsp_5275,Not Categorized,0
2006,Instructional,Anderson_Excel_Centernbsp_9750,Student Academic Achievement,0
2009,Instructional,Anderson_Excel_Centernbsp_9750,Student Academic Achievement,0
2013,Instructional,Anderson_Excel_Centernbsp_9750,Student Academic Achievement,582128
2014,Instructional,Anderson_Excel_Centernbsp_9750,Student Academic Achievement,761105
2015,Instructional,Anderson_Excel_Centernbsp_9750,Student Academic Achievement,563707
2016,Instructional,Anderson_Excel_Centernbsp_9750,Student Academic Achievement,484652
2006,Instructional,Anderson_Excel_Centernbsp_9750,Student Instructional Support,0
2009,Instructional,Anderson_Excel_Centernbsp_9750,Student Instructional Support,0
2013,Instructional,Anderson_Excel_Centernbsp_9750,Student Instructional Support,817571
2014,Instructional,Anderson_Excel_Centernbsp_9750,Student Instructional Support,1039324
2015,Instructional,Anderson_Excel_Centernbsp_9750,Student Instructional Support,1028223
2016,Instructional,Anderson_Excel_Centernbsp_9750,Student Instructional Support,948004
2006,Non-Instructional,Anderson_Excel_Centernbsp_9750,Overhead and Operational,0
2009,Non-Instructional,Anderson_Excel_Centernbsp_9750,Overhead and Operational,0
2013,Non-Instructional,Anderson_Excel_Centernbsp_9750,Overhead and Operational,419401
2014,Non-Instructional,Anderson_Excel_Centernbsp_9750,Overhead and Operational,173292
2015,Non-Instructional,Anderson_Excel_Centernbsp_9750,Overhead and Operational,170841
2016,Non-Instructional,Anderson_Excel_Centernbsp_9750,Overhead and Operational,150090
2006,Non-Instructional,Anderson_Excel_Centernbsp_9750,Non Operational,0
2009,Non-Instructional,Anderson_Excel_Centernbsp_9750,Non Operational,0
2013,Non-Instructional,Anderson_Excel_Centernbsp_9750,Non Operational,704555
2014,Non-Instructional,Anderson_Excel_Centernbsp_9750,Non Operational,678114
2015,Non-Instructional,Anderson_Excel_Centernbsp_9750,Non Operational,298986
2016,Non-Instructional,Anderson_Excel_Centernbsp_9750,Non Operational,283804
2006,Non-Instructional,Anderson_Excel_Centernbsp_9750,Not Categorized,0
2009,Non-Instructional,Anderson_Excel_Centernbsp_9750,Not Categorized,0
2013,Non-Instructional,Anderson_Excel_Centernbsp_9750,Not Categorized,0
2014,Non-Instructional,Anderson_Excel_Centernbsp_9750,Not Categorized,0
2015,Non-Instructional,Anderson_Excel_Centernbsp_9750,Not Categorized,0
2016,Non-Instructional,Anderson_Excel_Centernbsp_9750,Not Categorized,0
2006,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Academic Achievement,0
2009,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Academic Achievement,904064
2013,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Academic Achievement,3757124
2014,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Academic Achievement,3933439
2015,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Academic Achievement,3704701
2016,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Academic Achievement,3670399
2006,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Instructional Support,0
2009,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Instructional Support,384189
2013,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Instructional Support,932161
2014,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Instructional Support,1072795
2015,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Instructional Support,1003240
2016,Instructional,Anderson_Preparatory_Academynbsp_9790,Student Instructional Support,1025549
2006,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Overhead and Operational,0
2009,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Overhead and Operational,304273
2013,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Overhead and Operational,1175620
2014,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Overhead and Operational,1241433
2015,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Overhead and Operational,1179567
2016,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Overhead and Operational,1197842
2006,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Non Operational,0
2009,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Non Operational,1099245
2013,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Non Operational,732141
2014,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Non Operational,561587
2015,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Non Operational,789960
2016,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Non Operational,1257628
2006,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Not Categorized,0
2009,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Not Categorized,0
2013,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Not Categorized,0
2014,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Not Categorized,0
2015,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Not Categorized,0
2016,Non-Instructional,Anderson_Preparatory_Academynbsp_9790,Not Categorized,0
2006,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Academic Achievement,4230544
2009,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Academic Achievement,3154148
2013,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Academic Achievement,3706963
2014,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Academic Achievement,4055987
2015,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Academic Achievement,3607155
2016,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Academic Achievement,3199075
2006,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Instructional Support,0
2009,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Instructional Support,530244
2013,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Instructional Support,398764
2014,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Instructional Support,338541
2015,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Instructional Support,427004
2016,Instructional,Andrew_J_Brown_Academynbsp_9615,Student Instructional Support,376371
2006,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Overhead and Operational,0
2009,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Overhead and Operational,00
2013,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Overhead and Operational,1664388
2014,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Overhead and Operational,1624262
2015,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Overhead and Operational,1520207
2016,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Overhead and Operational,899557
2006,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Non Operational,0
2009,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Non Operational,00
2013,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Non Operational,0
2014,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Non Operational,0
2015,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Non Operational,0
2016,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Non Operational,739628
2006,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Not Categorized,0
2009,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Not Categorized,00
2013,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Not Categorized,0
2014,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Not Categorized,0
2015,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Not Categorized,0
2016,Non-Instructional,Andrew_J_Brown_Academynbsp_9615,Not Categorized,0
2006,Instructional,Argos_Community_Schoolsnbsp_5470,Student Academic Achievement,3321795
2009,Instructional,Argos_Community_Schoolsnbsp_5470,Student Academic Achievement,3449660
2013,Instructional,Argos_Community_Schoolsnbsp_5470,Student Academic Achievement,3586236
2014,Instructional,Argos_Community_Schoolsnbsp_5470,Student Academic Achievement,3634619
2015,Instructional,Argos_Community_Schoolsnbsp_5470,Student Academic Achievement,3036446
2016,Instructional,Argos_Community_Schoolsnbsp_5470,Student Academic Achievement,3176418
2006,Instructional,Argos_Community_Schoolsnbsp_5470,Student Instructional Support,430867
2009,Instructional,Argos_Community_Schoolsnbsp_5470,Student Instructional Support,391782
2013,Instructional,Argos_Community_Schoolsnbsp_5470,Student Instructional Support,568126
2014,Instructional,Argos_Community_Schoolsnbsp_5470,Student Instructional Support,598159
2015,Instructional,Argos_Community_Schoolsnbsp_5470,Student Instructional Support,535730
2016,Instructional,Argos_Community_Schoolsnbsp_5470,Student Instructional Support,607209
2006,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Overhead and Operational,1487088
2009,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Overhead and Operational,230
2013,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Overhead and Operational,1604029
2014,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Overhead and Operational,1741201
2015,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Overhead and Operational,1618728
2016,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Overhead and Operational,1597143
2006,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Non Operational,1212889
2009,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Non Operational,188
2013,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Non Operational,1067210
2014,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Non Operational,1063175
2015,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Non Operational,1331938
2016,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Non Operational,1491562
2006,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Not Categorized,0
2009,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Not Categorized,00
2013,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Not Categorized,0
2014,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Not Categorized,0
2015,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Not Categorized,0
2016,Non-Instructional,Argos_Community_Schoolsnbsp_5470,Not Categorized,0
2006,Instructional,Aspire_Charter_Academynbsp_9685,Student Academic Achievement,0
2009,Instructional,Aspire_Charter_Academynbsp_9685,Student Academic Achievement,2575155
2013,Instructional,Aspire_Charter_Academynbsp_9685,Student Academic Achievement,4773091
2014,Instructional,Aspire_Charter_Academynbsp_9685,Student Academic Achievement,4919392
2015,Instructional,Aspire_Charter_Academynbsp_9685,Student Academic Achievement,4995117
2016,Instructional,Aspire_Charter_Academynbsp_9685,Student Academic Achievement,3805688
2006,Instructional,Aspire_Charter_Academynbsp_9685,Student Instructional Support,0
2009,Instructional,Aspire_Charter_Academynbsp_9685,Student Instructional Support,430673
2013,Instructional,Aspire_Charter_Academynbsp_9685,Student Instructional Support,419310
2014,Instructional,Aspire_Charter_Academynbsp_9685,Student Instructional Support,453748
2015,Instructional,Aspire_Charter_Academynbsp_9685,Student Instructional Support,389244
2016,Instructional,Aspire_Charter_Academynbsp_9685,Student Instructional Support,738185
2006,Non-Instructional,Aspire_Charter_Academynbsp_9685,Overhead and Operational,0
2009,Non-Instructional,Aspire_Charter_Academynbsp_9685,Overhead and Operational,2401649
2013,Non-Instructional,Aspire_Charter_Academynbsp_9685,Overhead and Operational,1856744
2014,Non-Instructional,Aspire_Charter_Academynbsp_9685,Overhead and Operational,1940738
2015,Non-Instructional,Aspire_Charter_Academynbsp_9685,Overhead and Operational,1844043
2016,Non-Instructional,Aspire_Charter_Academynbsp_9685,Overhead and Operational,1796937
2006,Non-Instructional,Aspire_Charter_Academynbsp_9685,Non Operational,0
2009,Non-Instructional,Aspire_Charter_Academynbsp_9685,Non Operational,0
2013,Non-Instructional,Aspire_Charter_Academynbsp_9685,Non Operational,0
2014,Non-Instructional,Aspire_Charter_Academynbsp_9685,Non Operational,0
2015,Non-Instructional,Aspire_Charter_Academynbsp_9685,Non Operational,0
2016,Non-Instructional,Aspire_Charter_Academynbsp_9685,Non Operational,907358
2006,Non-Instructional,Aspire_Charter_Academynbsp_9685,Not Categorized,0
2009,Non-Instructional,Aspire_Charter_Academynbsp_9685,Not Categorized,0
2013,Non-Instructional,Aspire_Charter_Academynbsp_9685,Not Categorized,0
2014,Non-Instructional,Aspire_Charter_Academynbsp_9685,Not Categorized,0
2015,Non-Instructional,Aspire_Charter_Academynbsp_9685,Not Categorized,0
2016,Non-Instructional,Aspire_Charter_Academynbsp_9685,Not Categorized,0
2006,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Academic Achievement,5220140
2009,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Academic Achievement,5250512
2013,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Academic Achievement,4619746
2014,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Academic Achievement,4797664
2015,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Academic Achievement,4551551
2016,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Academic Achievement,4221900
2006,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Instructional Support,541308
2009,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Instructional Support,665065
2013,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Instructional Support,730256
2014,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Instructional Support,766259
2015,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Instructional Support,713334
2016,Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Student Instructional Support,669085
2006,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Overhead and Operational,1609410
2009,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Overhead and Operational,173
2013,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Overhead and Operational,2122988
2014,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Overhead and Operational,2309753
2015,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Overhead and Operational,1884877
2016,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Overhead and Operational,2044406
2006,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Non Operational,1921851
2009,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Non Operational,207
2013,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Non Operational,2069283
2014,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Non Operational,1663635
2015,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Non Operational,2120559
2016,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Non Operational,2503484
2006,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Not Categorized,0
2009,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Not Categorized,00
2013,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Not Categorized,0
2014,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Not Categorized,0
2015,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Not Categorized,0
2016,Non-Instructional,Attica_Consolidated_Sch_Corpnbsp_2435,Not Categorized,0
2006,Instructional,Avon_Community_School_Corpnbsp_3315,Student Academic Achievement,27902997
2009,Instructional,Avon_Community_School_Corpnbsp_3315,Student Academic Achievement,37863010
2013,Instructional,Avon_Community_School_Corpnbsp_3315,Student Academic Achievement,38352928
2014,Instructional,Avon_Community_School_Corpnbsp_3315,Student Academic Achievement,37946074
2015,Instructional,Avon_Community_School_Corpnbsp_3315,Student Academic Achievement,39974116
2016,Instructional,Avon_Community_School_Corpnbsp_3315,Student Academic Achievement,42979011
2006,Instructional,Avon_Community_School_Corpnbsp_3315,Student Instructional Support,4630722
2009,Instructional,Avon_Community_School_Corpnbsp_3315,Student Instructional Support,7629319
2013,Instructional,Avon_Community_School_Corpnbsp_3315,Student Instructional Support,8518355
2014,Instructional,Avon_Community_School_Corpnbsp_3315,Student Instructional Support,8507518
2015,Instructional,Avon_Community_School_Corpnbsp_3315,Student Instructional Support,8872204
2016,Instructional,Avon_Community_School_Corpnbsp_3315,Student Instructional Support,8916352
2006,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Overhead and Operational,19332298
2009,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Overhead and Operational,280
2013,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Overhead and Operational,20282377
2014,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Overhead and Operational,20030149
2015,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Overhead and Operational,21300242
2016,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Overhead and Operational,23482683
2006,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Non Operational,17147890
2009,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Non Operational,248
2013,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Non Operational,25979857
2014,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Non Operational,26355891
2015,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Non Operational,27306923
2016,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Non Operational,27370540
2006,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Not Categorized,0
2009,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Not Categorized,00
2013,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Not Categorized,0
2014,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Not Categorized,0
