school_name,url
Damar Charter Academy&nbsp; (9920), "https://www.in.gov/omb/files/9920fy16.pdf"
Danville Community School Corp&nbsp; (3325), "https://www.in.gov/omb/files/3325fy16.pdf"
Decatur County Com Schools&nbsp; (1655), "https://www.in.gov/omb/files/1655fy16.pdf"
DeKalb Co Ctl United Sch Dist&nbsp; (1835), "https://www.in.gov/omb/files/1835fy16.pdf"
DeKalb Co Eastern Com Sch Dist&nbsp; (1805), "https://www.in.gov/omb/files/1805fy16.pdf"
Delaware Community School Corp&nbsp; (1875), "https://www.in.gov/omb/files/1875fy16.pdf"
Delphi Community School Corp&nbsp; (755), "https://www.in.gov/omb/files/755fy16.pdf"
Discovery Charter School&nbsp; (9870), "https://www.in.gov/omb/files/9870fy16.pdf"
Dr Robert H Faulkner Academy&nbsp; (9795), "https://www.in.gov/omb/files/9795fy16.pdf"
Dugger Ch Sch (9950)&nbsp;, "https://www.in.gov/omb/files/9950fy16.pdf"
Duneland School Corporation&nbsp; (6470), "https://www.in.gov/omb/files/6470fy16.pdf"
Early Career Academy (9405), "https://www.in.gov/omb/files/9405fy16.pdf"
East Allen County Schools&nbsp; (255), "https://www.in.gov/omb/files/255fy16.pdf"
East Chicago Lighthouse Charter&nbsp; (9595), "https://www.in.gov/omb/files/9595fy16.pdf"
East Chicago Urban Enterprise Acad&nbsp; (9555), "https://www.in.gov/omb/files/9555fy16.pdf"
East Gibson School Corporation&nbsp; (2725), "https://www.in.gov/omb/files/2725fy16.pdf"
East Noble School Corp&nbsp; (6060), "https://www.in.gov/omb/files/6060fy16.pdf"
East Porter County School Corp&nbsp; (6510), "https://www.in.gov/omb/files/6510fy16.pdf"
East Washington School Corp&nbsp; (8215), "https://www.in.gov/omb/files/8215fy16.pdf"
Eastbrook Community Sch Corp&nbsp; (2815), "https://www.in.gov/omb/files/2815fy16.pdf"
Eastern Greene Schools&nbsp; (2940), "https://www.in.gov/omb/files/2940fy16.pdf"
Eastern Hancock Co Com Sch Corp&nbsp; (3145), "https://www.in.gov/omb/files/3145fy16.pdf"
Eastern Howard School Corp&nbsp; (3480), "https://www.in.gov/omb/files/3480fy16.pdf"
